longueur de pétale (cm);Largeur de pétale;Longueur de sépale;Largeur de sépale;ID;Espèce
4.2;1.2;5.7;3.0;00739bba-2446-4efa-af60-82b8bc20d70c;Iris-versicolor
1.4;0.2;4.9;3.0;00fc50d0-1578-4a6c-82f0-2806d0862fe0;Iris-setosa
4.8;1.8;6.0;3.0;047c9133-edd0-461f-a65a-05767ebcff10;Iris-virginica
4.5;1.6;6.0;3.4;070585fe-a0cd-47c4-af9a-4fcae35ccf01;Iris-versicolor
4.9;1.5;6.9;3.1;07d731de-04af-4743-9449-ba1f71d22d18;Iris-versicolor
4.6;1.4;6.1;3.0;0b535ef9-97ba-4f3e-9eb0-a90742354883;Iris-versicolor
1.7;0.4;5.4;3.9;0b560343-ef39-4f03-9abd-d99c0bad89bc;Iris-setosa
3.9;1.1;5.6;2.5;0ce4515f-8e31-4bf6-a8ef-13a1f702b708;Iris-versicolor
4.1;1.3;5.6;3.0;0d1e26c5-0aa0-48da-b892-c9e90e36d186;Iris-versicolor
5.6;1.8;6.3;2.9;0dd2c701-49ca-489b-9abe-8ae3aef7b831;Iris-virginica
1.4;0.3;5.1;3.5;10c14f1c-5943-4467-bf1d-d761ab3844e8;Iris-setosa
6.1;1.9;7.4;2.8;17ed6d5d-78b3-4440-8a0a-14533140abb3;Iris-virginica
1.9;0.2;4.8;3.4;1baef556-dfbd-4969-a3ac-c6d8d0c3d5ec;Iris-setosa
1.5;0.1;4.9;3.1;1bbb27ed-576b-4b0f-92ba-7ccd61429c3f;Iris-setosa
5.9;2.1;7.1;3.0;1e0f6837-8901-446d-b574-8dd49458a00f;Iris-virginica
4.4;1.2;5.5;2.6;1e2cf675-4e17-428d-804c-93c6c8a10b1c;Iris-versicolor
5.6;2.4;6.7;3.1;1f6f043b-3dc7-4993-95b0-04e5b3579525;Iris-virginica
5.5;1.8;6.5;3.0;1f7dc3ef-219f-4b16-b584-5de0ddac9fe6;Iris-virginica
5.4;2.3;6.2;3.4;21e4a4f1-500b-456b-816b-267993e40ace;Iris-virginica
5.1;2.3;6.9;3.1;221ddca1-14c2-45e8-bd66-05d6302da3d9;Iris-virginica
4.7;1.4;7.0;3.2;248ccbb3-a95a-4557-90ba-75390971b03a;Iris-versicolor
5.9;2.3;6.8;3.2;283f4b5a-79e4-4ed4-b4da-09d5c8cebeab;Iris-virginica
1.5;0.1;5.2;4.1;2912c3fd-a200-4ca5-b6b2-72add6504161;Iris-setosa
3.5;1.0;5.0;2.0;2bf13316-7af1-42b1-b19e-d9304af5d531;Iris-versicolor
5.6;2.1;6.4;2.8;2f520a5a-639b-4250-a630-ff363183ce4a;Iris-virginica
5.1;1.9;5.8;2.7;2f8aa61f-6e07-4f7d-864d-ecc8114b97a4;Iris-virginica
5.0;2.0;5.7;2.5;308aa1c8-b58a-493d-89b6-fbda66dbecdf;Iris-virginica
1.5;0.2;5.0;3.4;328b65af-ec6a-406d-a4cc-30c343fc9c5e;Iris-setosa
1.5;0.2;5.1;3.4;339268e1-dd00-421b-b853-03375d8a6c8c;Iris-setosa
4.7;1.2;6.1;2.8;3511ad3f-6b3c-4a65-a615-43ac7b730b69;Iris-versicolor
6.0;1.8;7.2;3.2;37eed1a5-6b2b-49ef-a091-1c88ccce8dff;Iris-virginica
3.3;1.0;5.0;2.3;37ef7403-4a62-4019-a85e-de8b1df28da6;Iris-versicolor
1.5;0.4;5.1;3.7;3886fe0a-1ccc-4653-b373-0c2d396a82af;Iris-setosa
6.6;2.1;7.6;3.0;397ef579-78e8-48b4-aa5a-eadec82e651e;Iris-virginica
1.2;0.2;5.0;3.2;3a0d489d-5e9d-437c-9785-df5a5bfca3b7;Iris-setosa
4.9;2.0;5.6;2.8;3c267462-b2de-4d14-8849-b7e64b73e707;Iris-virginica
5.6;2.2;6.4;2.8;3c416fee-2c45-4f52-b870-5a29f0657786;Iris-virginica
4.5;1.3;5.7;2.8;3d48248d-357b-46eb-b2a4-647cbc21dd12;Iris-versicolor
5.1;1.9;5.8;2.7;3ee00ef1-b9ea-4b25-9ec7-72614d8256d7;Iris-virginica
4.7;1.5;6.7;3.1;3f721502-1329-4bd5-a2e4-ad1cdfc4c1de;Iris-versicolor
5.7;2.1;6.7;3.3;415fe20b-e468-436d-ad53-1c59a0cdbb87;Iris-virginica
4.4;1.4;6.6;3.0;44ec00b6-902c-4bd6-9009-3b40c9129b6a;Iris-versicolor
1.6;0.2;4.7;3.2;450ee1dd-d0f4-46d2-b91e-1ef5ede7c713;Iris-setosa
4.1;1.0;5.8;2.7;47b1734c-362d-4231-9f0f-569f2d1709c3;Iris-versicolor
4.1;1.3;5.7;2.8;47bd7039-08d0-444b-b4ac-ec135c62b657;Iris-versicolor
3.7;1.0;5.5;2.4;482e7f9a-1b3d-4905-bb58-2acb0f21abc1;Iris-versicolor
5.0;1.5;6.0;2.2;4e3e6fcb-dcbb-455d-9d4b-b7f382d376ca;Iris-virginica
1.3;0.2;4.4;3.0;4f9dccbf-1e1f-4a57-8d0a-378c69188e43;Iris-setosa
4.9;1.8;6.3;2.7;53425e12-e46f-4c90-951d-cdc21abe9d4e;Iris-virginica
4.5;1.5;5.4;3.0;565e9ca8-dc15-4384-8ec6-a5a6021a0783;Iris-versicolor
1.4;0.3;4.8;3.0;566d5c57-af67-494b-8af1-7632f0947e6b;Iris-setosa
3.0;1.1;5.1;2.5;57da4787-618f-4462-aa9b-ffb560ebfefe;Iris-versicolor
4.6;1.5;6.5;2.8;58960d70-fe2d-4685-bca5-03919e7cd91e;Iris-versicolor
6.7;2.2;7.7;3.8;59e8dd93-9fe0-4734-a03f-705b871925fe;Iris-virginica
4.8;1.4;6.8;2.8;5aa627b5-7ed9-4c19-a8ea-f885bfeda66e;Iris-versicolor
1.5;0.2;4.6;3.1;5ada4756-7148-4307-afa1-93454f674538;Iris-setosa
5.8;2.2;6.5;3.0;5b686cb8-f2e9-48c7-ae87-6b651dcf69bb;Iris-virginica
1.5;0.1;4.9;3.1;5e621bbf-12fc-4d75-95a7-620a75d46618;Iris-setosa
1.4;0.2;5.0;3.3;5fdf4f96-6545-492b-9b42-e920f3e34389;Iris-setosa
4.4;1.4;6.7;3.1;5ffa7ffc-75aa-4591-b3a4-ff8985709224;Iris-versicolor
1.1;0.1;4.3;3.0;60862bdb-931b-480d-8757-cb257440ce41;Iris-setosa
4.5;1.5;6.4;3.2;63d53ae9-bbc1-42f8-8e28-efacfdd769d4;Iris-versicolor
6.4;2.0;7.9;3.8;646595be-1cac-4b25-bcc6-bc5305fd201b;Iris-virginica
5.8;1.6;7.2;3.0;6b6c7890-bef8-42a3-86f9-2fdaa8bfa1e6;Iris-virginica
1.4;0.2;5.2;3.4;6e94d5e7-a4cc-43cf-b4c7-087084e4a689;Iris-setosa
1.4;0.2;4.4;2.9;6ec8bb64-7a22-44f9-a4a0-dc7c6c4a0fca;Iris-setosa
4.3;1.3;6.4;2.9;731d429d-8336-4b52-ab96-f52c5ae6f3b9;Iris-versicolor
4.3;1.3;6.2;2.9;75df5623-4271-4760-9fad-99a8a62fb4fc;Iris-versicolor
4.9;1.8;6.1;3.0;764d1c3a-08db-4eb4-850a-613c28d580c4;Iris-virginica
5.2;2.3;6.7;3.0;7864e5d2-f5b1-400e-8761-68885c260e94;Iris-virginica
4.4;1.3;6.3;2.3;79ed4315-3e43-4708-8fd7-aa0b4eaaceef;Iris-versicolor
5.6;1.4;6.1;2.6;7bbc59cd-b981-4985-9bcf-3c443c0da272;Iris-virginica
4.2;1.5;5.9;3.0;7be85401-8d08-46bf-a83c-9d0688b08464;Iris-versicolor
4.5;1.7;4.9;2.5;7e7f7964-fa7f-4627-8336-294d52e4e2bc;Iris-virginica
5.1;2.0;6.5;3.2;7f76c624-37b7-48f8-8c91-a5548b27d6cc;Iris-virginica
1.7;0.3;5.7;3.8;8197bade-47d7-4434-bcfc-7ad015c97994;Iris-setosa
