timestamp,model_type,categories,image_size,train_accuracy,test_accuracy,soft_margin
2025-07-22T03:05:50.906115,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4553,0.4941,0.1
2025-07-22T03:07:22.133542,OneVsOne,"['Horreur', 'Animation', 'Action']",15x10,0.4478,0.474,0.1
2025-07-22T03:20:44.270464,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5367,0.5343,0.1
2025-07-22T03:15:57.019154,OneVsOne,"['Horreur', 'Animation', 'Action']",15x10,0.4692,0.4791,0.1
2025-07-22T03:24:26.694176,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5254,0.5477,0.5
2025-07-22T03:17:27.676311,OneVsOne,"['Horreur', 'Animation', 'Action']",15x10,0.4465,0.4271,0.5
2025-07-22T03:24:01.366466,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5245,0.5092,1
2025-07-22T03:17:40.807476,OneVsOne,"['Horreur', 'Animation', 'Action']",15x10,0.5174,0.5042,1
2025-07-22T03:53:14.123847,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4407,0.4456,0.01
2025-07-22T03:58:55.299073,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4423,0.4439,0.05
2025-07-22T04:10:44.220036,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5505,0.5343,2
2025-07-22T04:56:54.130136,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4801,0.5109,5
2025-07-22T05:31:11.635675,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5308,0.5226,1.5
2025-07-22T05:41:01.716067,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5358,0.5025,2.5
2025-07-23T23:32:07.537398,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4176,0.4271,0.2
2025-07-23T23:31:24.883152,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4558,0.4271,0.3
2025-07-23T23:32:35.748839,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5463,0.5193,0.4
2025-07-23T23:33:06.807763,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.4432,0.4322,0.6
2025-07-23T23:47:10.485582,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5136,0.5226,0.35
2025-07-23T23:47:57.985040,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.34,0.3601,0.45
2025-07-23T23:47:20.973268,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5392,0.5126,0.55
2025-07-24T05:03:41.060529,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5199,0.5477,0.75
2025-07-24T05:05:05.392040,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5048,0.5293,1.25
2025-07-24T05:03:42.029563,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.439,0.4623,1.75
2025-07-24T05:05:26.594256,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5224,0.5394,2.25
2025-07-24T05:03:57.343261,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5287,0.5477,2.75
2025-07-24T05:08:16.296724,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5312,0.5461,3
2025-07-24T05:07:05.494747,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5556,0.5126,3.25
2025-07-24T05:05:22.125259,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5275,0.5209,3.5
2025-07-24T05:15:58.682840,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5233,0.4891,3.75
2025-07-24T05:17:15.432368,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5384,0.5595,4.25
2025-07-24T05:16:54.574575,OneVsRest,"['Horreur', 'Animation', 'Action']",15x10,0.5484,0.5075,4.5
